Name: 2, Condition: 2, Run: 30, Date: 10/8/2019 11:34:06 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.02,0.004902758,4.375035,17.51975,0.3432294,0.005112612
0.03,0.004902758,4.44924,17.81657,0.5213951,0.01032656
0.04,0.0082936,4.417681,17.7039,0.6984341,0.0173109
0.05,0.0082936,4.276578,17.13949,0.8698289,0.02600919
0.05999999,0.01055416,4.024192,16.13899,1.031219,0.03632138
0.06999999,0.01281472,3.660875,14.69476,1.178166,0.04810304
0.07999999,0.01281472,3.189085,12.8076,1.306242,0.06116547
0.08999999,0.01281472,2.613359,10.50469,1.411289,0.07527836
0.09999999,0.01281472,1.940252,7.812266,1.489412,0.09017248
0.11,0.01281472,1.17823,4.764179,1.537054,0.105543
0.12,0.01281472,0.3375367,1.401406,1.551068,0.1210537
0.13,0.01281472,-0.5699781,-2.228654,1.528781,0.1363415
0.14,0.013945,-1.531064,-6.068477,1.468096,0.1510225
0.15,0.013945,-2.53129,-10.06938,1.367403,0.1646965
0.16,0.013945,-3.555301,-14.16542,1.225748,0.176954
0.17,0.01620556,-4.587086,-18.28352,1.042913,0.1873831
0.18,0.01620556,-5.610249,-22.37617,0.8191513,0.1955746
0.19,0.01620556,-6.608318,-26.36845,0.5554668,0.2011293
0.2,0.01620556,-7.56502,-30.19526,0.2535143,0.2036644
0.21,0.01733612,-8.464574,-33.78895,-0.08437525,0.2028207
0.22,0.01733612,-9.291985,-37.09859,-0.4553612,0.1982671
0.23,0.01733612,-10.03329,-40.06382,-0.8559994,0.1897071
0.24,0.01959668,-10.67584,-42.62497,-1.282249,0.1768846
0.25,0.01959668,-11.20849,-44.75558,-1.729805,0.1595865
0.26,0.01959668,-11.62184,-46.40898,-2.193895,0.1376476
0.27,0.01959668,-11.90838,-47.55513,-2.669446,0.1109531
0.28,0.01959668,-12.06263,-48.17215,-3.151167,0.07944147
0.29,0.01959668,-12.08127,-48.24668,-3.633634,0.04310513
0.3,0.01959668,-11.96315,-47.7742,-4.111376,0.001991363
0.31,0.01959668,-11.70937,-46.75908,-4.578967,-0.04379831
0.32,0.01959668,-11.32324,-45.21455,-5.031113,-0.09410943
0.33,0.01959668,-10.81021,-43.16246,-5.462737,-0.1487368
0.3399999,0.01959668,-10.17783,-40.63294,-5.869066,-0.2074275
0.3499999,0.01959668,-9.435559,-37.66385,-6.245705,-0.2698845
0.3599999,0.01959668,-8.594629,-34.30013,-6.588706,-0.3357716
0.3699999,0.01959668,-7.667868,-30.59308,-6.894637,-0.404718
0.3799999,0.01959668,-6.669437,-26.59936,-7.16063,-0.4763243
0.3899999,0.01959668,-5.614624,-22.38011,-7.384431,-0.5501686
0.3999999,0.01959668,-4.519543,-17.99979,-7.564429,-0.6258129
0.4099999,0.01959668,-3.400883,-13.52514,-7.699681,-0.7028097
0.4199999,0.01959668,-2.27559,-9.023975,-7.78992,-0.7807089
0.4299999,0.01959668,-1.160591,-4.563975,-7.83556,-0.8590645
0.4399998,0.01959668,-0.0724965,-0.2115993,-7.837676,-0.9374413
0.4499998,0.01959668,0.9726955,3.969169,-7.797984,-1.015421
0.4599998,0.01959668,1.959859,7.917824,-7.718806,-1.092609
0.4699998,0.01959668,2.875019,11.57846,-7.603021,-1.168639
0.4799998,0.01959668,3.705569,14.90066,-7.454014,-1.24318
0.4899998,0.01959668,4.440506,17.84041,-7.27561,-1.315936
0.4999998,0.01959668,5.070591,20.36075,-7.072003,-1.386656
0.5099998,0.02185724,5.588519,22.44151,-6.847588,-1.455132
0.5199998,0.02637837,5.989013,24.06157,-6.606972,-1.521201
0.5299998,0.02637837,6.268928,25.18122,-6.35516,-1.584753
0.5399998,0.02637837,6.427269,25.81459,-6.097014,-1.645723
0.5499998,0.02637837,6.465206,25.96634,-5.83735,-1.704096
0.5599998,0.02637837,6.386023,25.6496,-5.580854,-1.759905
0.5699998,0.02637837,6.195053,24.88572,-5.331997,-1.813225
0.5799997,0.02637837,5.899548,23.7037,-5.09496,-1.864174
0.5899997,0.02750865,5.508548,22.14423,-4.873518,-1.91291
0.5999997,0.02750865,5.032696,20.24082,-4.67111,-1.959621
0.6099997,0.03655117,4.484011,18.08225,-4.490287,-2.004524
0.6199997,0.03655117,3.875679,15.64892,-4.333798,-2.047862
0.6299997,0.03655117,3.22179,13.03336,-4.203465,-2.089896
0.6399997,0.03655117,2.537072,10.29449,-4.10052,-2.130901
0.6499997,0.03655117,1.836588,7.492556,-4.025594,-2.171157
0.6599997,0.03768145,1.135491,4.692691,-3.978667,-2.210944
0.6699997,0.05915705,0.4487189,2.031504,-3.958352,-2.250527
0.6799996,0.05915705,-0.2093081,-0.6006043,-3.964358,-2.290171
0.6899996,0.09080546,-0.8249119,-2.936426,-3.993723,-2.330108
0.6999996,0.09080546,-1.385438,-5.178531,-4.045508,-2.370563
0.7099996,0.1122811,-1.879484,-7.068813,-4.116196,-2.411725
0.7199996,0.1767079,-2.297116,-8.481633,-4.201013,-2.453735
0.7299996,0.1767079,-2.630034,-9.813306,-4.299146,-2.496727
0.7399996,0.268262,-2.871731,-10.41388,-4.403285,-2.54076
0.7499996,0.268262,-3.017612,-10.9974,-4.513258,-2.585892
0.7599996,0.3315588,-3.065064,-10.93402,-4.622599,-2.632118
0.7699996,0.4931915,-3.013504,-10.08125,-4.723411,-2.679352
0.7799996,0.4931915,-2.864379,-9.484752,-4.818259,-2.727535
0.7899995,0.5994395,-2.621131,-8.086767,-4.899127,-2.776526
0.7999995,0.5994395,-2.289124,-6.758738,-4.966714,-2.826193
0.8099995,0.8684505,-1.875536,-4.028344,-5.006997,-2.876263
0.8199995,1.156676,-1.389202,-0.9301038,-5.016298,-2.926426
0.8299995,1.156676,-0.8404642,1.264848,-5.00365,-2.976463
