Name: 8, Condition: 1, Run: 21, Date: 10/16/2019 4:07:38 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.02,0,4.375035,17.50014,0.3430333,0.005110651
0.03,0,4.44924,17.79696,0.5210028,0.01032068
0.04,0,4.417681,17.67072,0.6977101,0.01729778
0.05,0,4.276578,17.10631,0.8687732,0.02598551
0.05999999,0,4.024192,16.09677,1.029741,0.03628292
0.06999999,0,3.660875,14.6435,1.176176,0.04804468
0.07999999,0,3.189085,12.75634,1.303739,0.06108207
0.08999999,0,2.613359,10.45343,1.408274,0.07516481
0.09999999,0,1.940252,7.761007,1.485884,0.09002364
0.11,0,1.17823,4.71292,1.533013,0.1053538
0.12,0,0.3375367,1.350147,1.546514,0.1208189
0.13,0,-0.5699781,-2.279912,1.523715,0.1360561
0.14,0,-1.531064,-6.124257,1.462473,0.1506808
0.15,0,-2.53129,-10.12516,1.361221,0.164293
0.16,0,-3.555301,-14.2212,1.219009,0.1764831
0.17,0,-4.587086,-18.34834,1.035526,0.1868383
0.18,0,-5.610249,-22.441,0.8111156,0.1949495
0.19,0,-6.608318,-26.43327,0.5467829,0.2004173
0.2,0,-7.56502,-30.26008,0.2441821,0.2028591
0.21,0,-8.464574,-33.8583,-0.09440084,0.2019151
0.22,0,-9.291985,-37.16794,-0.4660802,0.1972543
0.23,0,-10.03329,-40.13317,-0.8674119,0.1885802
0.24,0,-10.67584,-42.70336,-1.294446,0.1756358
0.25,0,-11.20849,-44.83397,-1.742785,0.1582079
0.26,0,-11.62184,-46.48737,-2.207659,0.1361313
0.27,0,-11.90838,-47.63352,-2.683994,0.1092914
0.28,0,-12.06263,-48.25053,-3.166499,0.0776264
0.29,0,-12.08127,-48.32507,-3.64975,0.0411289
0.3,0,-11.96315,-47.85259,-4.128276,-0.0001538579
0.31,0,-11.70937,-46.83747,-4.596651,-0.04612036
0.32,0,-11.32324,-45.29294,-5.04958,-0.09661616
0.33,0,-10.81021,-43.24085,-5.481988,-0.151436
0.3399999,0,-10.17783,-40.71133,-5.889102,-0.2103271
0.3499999,0,-9.435559,-37.74224,-6.266524,-0.2729923
0.3599999,0,-8.594629,-34.37852,-6.610309,-0.3390954
0.3699999,0,-7.667868,-30.67147,-6.917024,-0.4082656
0.3799999,0,-6.669437,-26.67775,-7.183801,-0.4801036
0.3899999,0.01281472,-5.614624,-22.40724,-7.407874,-0.5541824
0.3999999,0.01281472,-4.519543,-18.02691,-7.588143,-0.6300638
0.4099999,0.08628407,-3.400883,-13.25839,-7.720727,-0.707271
0.4199999,0.1868807,-2.27559,-8.354839,-7.804276,-0.7853138
0.4299999,0.1868807,-1.160591,-3.894839,-7.843224,-0.863746
0.4399998,0.2422653,-0.0724965,0.6790751,-7.836433,-0.9421104
0.4499998,0.2422653,0.9726955,4.859843,-7.787835,-1.019989
0.4599998,0.3586859,1.959859,9.27418,-7.695093,-1.09694
0.4699998,0.495452,2.875019,13.48188,-7.560274,-1.172542
0.4799998,0.495452,3.705569,16.80408,-7.392233,-1.246465
0.4899998,0.6107423,4.440506,20.20499,-7.190184,-1.318366
0.4999998,0.6107423,5.070591,22.72533,-6.96293,-1.387996
0.5099998,0.6604755,5.588519,24.99598,-6.71297,-1.455125
0.5199998,0.7441176,5.989013,26.93252,-6.443645,-1.519562
0.5299998,0.7441176,6.268928,28.05218,-6.163123,-1.581193
0.5399998,0.8017628,6.427269,28.91613,-5.873962,-1.639933
0.5499998,0.8017628,6.465206,29.06787,-5.583283,-1.695766
0.5599998,0.8221081,6.386023,28.83252,-5.294958,-1.748715
0.5699998,0.8571473,6.195053,28.2088,-5.01287,-1.798844
0.5799997,0.8571473,5.899548,27.02678,-4.742602,-1.84627
0.5899997,0.8808835,5.508548,25.55773,-4.487025,-1.89114
0.5999997,0.8808835,5.032696,23.65432,-4.250482,-1.933645
0.6099997,0.8808835,4.484011,21.45958,-4.035886,-1.974004
0.6199997,0.8808835,3.875679,19.02625,-3.845623,-2.01246
0.6299997,0.8808835,3.22179,16.41069,-3.681516,-2.049275
0.6399997,0.8808835,2.537072,13.67182,-3.544798,-2.084723
0.6499997,0.8808835,1.836588,10.86989,-3.436099,-2.119084
0.6599997,0.8808835,1.135491,8.065499,-3.355444,-2.152639
0.6699997,0.8808835,0.4487189,5.318409,-3.30226,-2.185661
0.6799996,0.8808835,-0.2093081,2.686301,-3.275397,-2.218415
0.6899996,0.8808835,-0.8249119,0.2238865,-3.273158,-2.251147
0.6999996,0.8808835,-1.385438,-2.018218,-3.29334,-2.28408
0.7099996,0.8808835,-1.879484,-3.994403,-3.333284,-2.317413
0.7199996,0.8820138,-2.297116,-5.66041,-3.389889,-2.351312
0.7299996,0.8820138,-2.630034,-6.992083,-3.459809,-2.38591
0.7399996,0.8831441,-2.871731,-7.954347,-3.539353,-2.421304
0.7499996,0.8831441,-3.017612,-8.537873,-3.624731,-2.457551
0.7599996,0.9204439,-3.065064,-8.578482,-3.710516,-2.494656
0.7699996,0.9464409,-3.013504,-8.26825,-3.793199,-2.532588
0.7799996,0.9464409,-2.864379,-7.671754,-3.869916,-2.571287
0.7899995,0.9984347,-2.621131,-6.490786,-3.934824,-2.610635
0.7999995,0.9984347,-2.289124,-5.162757,-3.986452,-2.6505
0.8099995,1.074165,-1.875536,-3.205487,-4.018507,-2.690685
0.8199995,1.138592,-1.389202,-1.002442,-4.028531,-2.73097
0.8299995,1.138592,-0.8404642,1.19251,-4.016606,-2.771136
0.8399995,1.343175,-0.240946,4.408916,-3.972517,-2.810861
0.8499995,1.343175,0.396664,6.959356,-3.902923,-2.84989
0.8599995,1.594101,1.05888,10.61193,-3.796804,-2.887858
0.8699995,1.743301,1.731654,13.89982,-3.657806,-2.924436
0.8799995,1.743301,2.400659,16.57584,-3.492047,-2.959357
0.8899994,2.037179,3.051595,20.35509,-3.288496,-2.992242
