Name: 4, Condition: 3, Run: 33, Date: 10/10/2019 2:42:12 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.9299994,2.691621,5.203988,31.58244,-1.985313,-3.027169
0.9399994,2.697273,5.56919,33.06585,-1.654655,-3.043715
0.9499994,2.697273,5.845571,34.17137,-1.312941,-3.056845
0.9599994,2.698403,6.026057,34.89784,-0.9639628,-3.066485
0.9699994,2.698403,6.105398,35.2152,-0.6118108,-3.072603
0.9799994,2.698403,6.080283,35.11474,-0.2606634,-3.075209
0.9899994,2.698403,5.949421,34.59129,0.08524954,-3.074357
0.9999993,2.698403,5.71357,33.64789,0.4217284,-3.070139
1.009999,2.698403,5.375536,32.29576,0.7446859,-3.062693
1.019999,2.698403,4.940147,30.5542,1.050228,-3.05219
1.029999,2.698403,4.41415,28.45021,1.33473,-3.038843
1.039999,2.698403,3.806116,26.01807,1.594911,-3.022894
1.049999,2.698403,3.126292,23.29878,1.827899,-3.004615
1.059999,2.698403,2.386396,20.3392,2.031291,-2.984302
1.069999,2.698403,1.59944,17.19137,2.203204,-2.96227
1.079999,2.698403,0.779474,13.91151,2.342319,-2.938847
1.089999,2.698403,-0.05865317,10.559,2.447909,-2.914368
1.099999,2.698403,-0.8995933,7.195237,2.519861,-2.889169
1.109999,2.698403,-1.72774,3.882651,2.558688,-2.863582
1.119999,2.698403,-2.527537,0.6834631,2.565523,-2.837927
1.129999,2.698403,-3.283779,-2.341505,2.542108,-2.812506
1.139999,2.698403,-3.981862,-5.133836,2.490769,-2.787598
1.149999,2.698403,-4.608078,-7.638701,2.414382,-2.763454
1.159999,2.698403,-5.149864,-9.805844,2.316324,-2.740291
1.169999,2.699533,-5.596035,-11.58601,2.200464,-2.718286
1.179999,2.699533,-5.937024,-12.94996,2.070964,-2.697577
1.189999,2.699533,-6.165023,-13.86196,1.932345,-2.678253
1.199999,2.699533,-6.274165,-14.29853,1.789359,-2.66036
1.209999,2.699533,-6.260635,-14.24441,1.646915,-2.64389
1.219999,2.705184,-6.122753,-13.67027,1.510213,-2.628788
1.229999,2.705184,-5.861013,-12.62331,1.383979,-2.614949
1.239999,2.72553,-5.478095,-11.01026,1.273877,-2.60221
1.249999,2.72553,-4.978815,-9.01314,1.183746,-2.590372
1.259999,2.736833,-4.370065,-6.532929,1.118416,-2.579188
1.269999,2.76283,-3.660697,-3.59147,1.082502,-2.568363
1.279999,2.76283,-2.861372,-0.3941689,1.07856,-2.557578
1.289999,2.766221,-1.984383,3.127351,1.109833,-2.546479
1.299999,2.766221,-1.043444,6.891109,1.178744,-2.534692
1.309999,2.773002,-0.05346514,10.87815,1.287526,-2.521816
1.319999,2.804651,0.9697481,15.0976,1.438502,-2.507432
1.329999,2.804651,2.009706,19.25743,1.631076,-2.491121
1.339999,2.841951,3.049561,23.56605,1.866737,-2.472453
1.349999,2.841951,4.072396,27.65739,2.14331,-2.45102
1.359999,2.861165,5.061516,31.69073,2.460217,-2.426418
1.369999,2.871339,6.000738,35.4883,2.8151,-2.398267
1.379999,2.871339,6.874663,38.98401,3.204941,-2.366218
1.389999,2.871339,7.668999,42.16135,3.626554,-2.329952
1.399999,2.871339,8.370727,44.96826,4.076237,-2.28919
1.409999,2.871339,8.968378,47.35887,4.549825,-2.243691
1.419999,2.871339,9.452228,49.29427,5.042768,-2.193264
1.429999,2.871339,9.814456,50.74318,5.5502,-2.137762
1.439999,2.871339,10.04928,51.68247,6.067025,-2.077092
1.449999,2.871339,10.15305,52.09755,6.588,-2.011212
1.459999,2.871339,10.12432,51.98264,7.107827,-1.940133
1.469999,2.871339,9.963851,51.34076,7.621234,-1.863921
1.479999,2.871339,9.674593,50.18373,8.123072,-1.78269
1.489999,2.806911,9.261636,48.27419,8.605814,-1.696632
1.499999,2.806911,8.732102,46.15606,9.067374,-1.605958
1.509999,2.7244,8.095017,43.27767,9.500151,-1.510957
1.519999,2.481385,7.361154,39.37016,9.893852,-1.412019
1.529999,2.481385,6.542787,36.09669,10.25482,-1.30947
1.539999,2.099345,5.653537,31.01153,10.56493,-1.203821
1.549999,2.099345,4.708077,27.22969,10.83723,-1.095449
1.559999,1.808858,3.721879,22.12295,11.05846,-0.984864
1.569999,1.177022,2.710935,15.55183,11.21398,-0.8727242
1.579999,1.177022,1.691466,11.47395,11.32872,-0.7594371
1.589999,0.2874771,0.6796483,3.868501,11.3674,-0.645763
1.599999,0.2874771,-0.3087251,-0.08499205,11.36655,-0.5320975
1.609999,0,-1.258458,-5.033832,11.31621,-0.4189354
1.619999,0,-2.155256,-8.621023,11.23,-0.3066353
1.629999,0,-2.985975,-11.9439,11.11057,-0.1955297
1.639999,0,-3.738843,-14.95537,10.96101,-0.08591958
1.649999,0,-4.403668,-17.61467,10.78487,0.02192907
1.659999,0,-4.972002,-19.88801,10.58599,0.1277889
1.669999,0,-5.437296,-21.74919,10.36849,0.2314738
1.679999,0,-5.794979,-23.17991,10.13669,0.3328408
1.689999,0,-6.042545,-24.17018,9.894992,0.4317907
1.699999,0,-6.179574,-24.7183,9.647809,0.5282688
1.709999,0,-6.207723,-24.83089,9.3995,0.6222638
1.719999,0,-6.130669,-24.52268,9.154273,0.7138065
1.729999,0,-5.954041,-23.81616,8.916111,0.8029676
1.739999,0,-5.685264,-22.74105,8.688701,0.8898546
1.749999,0,-5.333437,-21.33375,8.475363,0.9746082
1.759999,0,-4.909131,-19.63652,8.278997,1.057398
1.769999,0,-4.424177,-17.69671,8.102031,1.138419
1.779999,0,-3.891427,-15.56571,7.946373,1.217882
1.789999,0,-3.324501,-13.298,7.813394,1.296016
1.799999,0,-2.737531,-10.95012,7.703892,1.373055
1.809999,0,-2.144836,-8.579344,7.618099,1.449236
1.819999,0,-1.560709,-6.242838,7.55567,1.524793
1.829999,0,-0.9990984,-3.996394,7.515707,1.59995
1.839999,0,-0.4733375,-1.89335,7.496773,1.674918
1.849999,0,0.004108767,0.01643507,7.496938,1.749887
1.859999,0,0.4218848,1.687539,7.513813,1.825025
1.869999,0,0.769967,3.079868,7.544612,1.900471
1.879999,0,1.03988,4.159521,7.586207,1.976333
1.889999,-0.8543216,1.224821,1.481998,7.601027,2.052344
1.899999,-0.8543216,1.319827,1.86202,7.619647,2.12854
1.909999,-1.907759,1.321863,-2.343585,7.596211,2.204502
1.919999,-2.396048,1.229882,-4.664663,7.549564,2.279998
1.929999,-2.396048,1.044858,-5.404761,7.495517,2.354953
1.939999,-3.350019,0.7697648,-10.32102,7.392307,2.428876
1.949998,-3.350019,0.4095129,-11.76203,7.274686,2.501623
1.959998,-4.144619,-0.02911569,-16.69494,7.107737,2.5727
1.969998,-4.478056,-0.5376108,-20.06267,6.90711,2.641771
1.979998,-4.478056,-1.105889,-22.33578,6.683753,2.708609
1.989998,-5.020599,-1.722482,-26.97232,6.414029,2.772749
1.999998,-5.020599,-2.37475,-29.5814,6.118215,2.833931
2.009999,-5.382295,-3.049122,-33.72567,5.780958,2.891741
2.019999,-5.490804,-3.731366,-36.88868,5.412071,2.945862
2.029999,-5.490804,-4.406835,-39.59055,5.016166,2.996023
2.039999,-5.580098,-5.060766,-42.56345,4.590531,3.041929
2.049999,-5.580098,-5.678555,-45.03461,4.140185,3.083331
2.059999,-5.580098,-6.246041,-47.30455,3.66714,3.120002
2.069999,-5.580098,-6.749773,-49.31948,3.173945,3.151742
2.079998,-5.580098,-7.177303,-51.0296,2.663649,3.178378
2.089998,-5.580098,-7.51738,-52.38991,2.13975,3.199776
2.099998,-5.580098,-7.76021,-53.36123,1.606138,3.215837
2.109998,-5.580098,-7.897639,-53.91095,1.067028,3.226507
2.119998,-5.580098,-7.923331,-54.01371,0.5268909,3.231776
2.129998,-5.580098,-7.832892,-53.65196,-0.00962864,3.23168
2.139998,-5.580098,-7.623978,-52.8163,-0.5377916,3.226302
2.149998,-5.580098,-7.296359,-51.50583,-1.05285,3.215773
2.159998,-5.575576,-6.851918,-49.70998,-1.54995,3.200274
2.169998,-5.5541,-6.294677,-47.39511,-2.023901,3.180034
2.179998,-5.5541,-5.63071,-44.73924,-2.471293,3.155321
2.189998,-5.534885,-4.86807,-41.61182,-2.887411,3.126447
2.199998,-5.534885,-4.016648,-38.20613,-3.269473,3.093752
2.209998,-5.51228,-3.088026,-34.40122,-3.613485,3.057617
2.219998,-5.467067,-2.095246,-30.24925,-3.915977,3.018458
2.229998,-5.467067,-1.052638,-26.07882,-4.176765,2.97669
2.239998,-5.421855,0.02445536,-21.5896,-4.392662,2.932763
2.249998,-5.421855,1.119935,-17.20768,-4.564738,2.887116
2.259998,-5.323519,2.217232,-12.42515,-4.68899,2.840226
2.269998,-5.203708,3.299587,-7.616483,-4.765154,2.792575
2.279998,-5.203708,4.350339,-3.413473,-4.799289,2.744582
2.289998,-5.125718,5.353265,0.9101887,-4.790187,2.69668
2.299998,-5.125718,6.292783,4.668261,-4.743505,2.649245
2.309998,-4.960694,7.154292,8.774393,-4.655761,2.602687
2.319998,-4.75611,7.924407,12.67319,-4.529029,2.557397
2.329998,-4.75611,8.591195,15.34034,-4.375626,2.513641
2.339998,-4.60239,9.144393,18.16801,-4.193945,2.471701
2.349998,-4.60239,9.575583,19.89277,-3.995018,2.431751
2.359998,-4.144619,9.878345,22.9349,-3.765669,2.394094
2.369998,-3.585121,10.04837,25.85299,-3.507139,2.359023
2.379998,-3.585121,10.08353,25.99365,-3.247202,2.326551
2.389998,-3.234729,9.983941,26.99685,-2.977234,2.296778
2.399998,-3.234729,9.751915,26.06874,-2.716547,2.269613
2.409998,-2.370051,9.391955,28.08762,-2.43567,2.245256
2.419998,-1.466943,8.910668,29.7749,-2.137921,2.223877
2.429998,-1.466943,8.31664,27.39879,-1.863933,2.205238
2.439998,-1.031779,7.620286,26.35403,-1.600393,2.189234
2.449998,-1.031779,6.833663,23.20754,-1.368318,2.175551
2.459998,-0.1196279,5.970262,23.40254,-1.134292,2.164208
2.469998,0,5.044762,20.17905,-0.932502,2.154883
2.479998,0,4.072771,16.29108,-0.7695912,2.147187
2.489998,0,3.070551,12.28221,-0.6467692,2.140719
2.499998,0,2.054733,8.21893,-0.5645798,2.135074
2.509998,0,1.042018,4.16807,-0.5228992,2.129845
2.519998,0,0.04890884,0.1956354,-0.5209428,2.124635
2.529998,0,-0.9086647,-3.634659,-0.5572894,2.119062
2.539998,0,-1.815495,-7.261979,-0.6299092,2.112763
2.549998,0,-2.657445,-10.62978,-0.736207,2.105401
2.559998,0,-3.421678,-13.68671,-0.8730741,2.096671
2.569998,0,-4.096867,-16.38747,-1.036949,2.086301
2.579998,0,-4.67339,-18.69356,-1.223884,2.074062
2.589998,0,-5.143495,-20.57398,-1.429624,2.059766
2.599998,0,-5.501416,-22.00566,-1.649681,2.043269
2.609998,0,-5.74346,-22.97384,-1.879419,2.024475
2.619998,0,-5.868084,-23.47234,-2.114143,2.003333
2.629998,0,-5.875865,-23.50346,-2.349177,1.979842
2.639998,0.4784975,-5.7695,-21.16401,-2.560817,1.954233
2.649998,0.4784975,-5.55373,-20.30093,-2.763827,1.926595
2.659998,0.9373984,-5.23526,-17.19145,-2.935741,1.897238
2.669998,2.036048,-4.822548,-11.146,-3.047201,1.866766
2.679998,2.036048,-4.325731,-9.158731,-3.138788,1.835378
2.689998,2.525467,-3.756363,-4.923586,-3.188024,1.803497
2.699998,2.525467,-3.127207,-2.406961,-3.212094,1.771376
2.709998,3.544996,-2.451981,4.372057,-3.168373,1.739693
2.719998,4.414195,-1.7451,10.67638,-3.06161,1.709077
2.729998,4.414195,-1.021395,13.5712,-2.925898,1.679818
2.739998,5.056204,-0.2958341,19.04148,-2.735483,1.652463
2.749998,5.056204,0.4167638,21.89187,-2.516564,1.627297
2.759998,5.282263,1.102007,25.53708,-2.261193,1.604685
2.769998,5.582923,1.746206,29.31652,-1.968028,1.585005
2.779998,5.582923,2.336623,31.67819,-1.651246,1.568493
2.789998,5.647349,2.861721,34.03628,-1.310883,1.555384
2.799998,5.647349,3.311357,35.83482,-0.9525349,1.545858
2.809998,5.647349,3.677024,37.29749,-0.57956,1.540063
2.819998,5.588575,3.951927,38.16201,-0.1979399,1.538083
2.829998,5.588575,4.131166,38.87896,0.1908497,1.539992
2.839998,5.513975,4.211803,38.90311,0.5798808,1.545791
2.849998,5.513975,4.192916,38.82756,0.9681564,1.555472
2.859998,5.515105,4.075614,38.36288,1.351785,1.56899
2.869998,5.515105,3.863001,37.51242,1.726909,1.586259
2.879998,5.515105,3.560119,36.3009,2.089918,1.607159
2.889998,5.511714,3.173846,34.74224,2.437341,1.631532
2.899998,5.511714,2.712757,32.89788,2.76632,1.659195
2.909998,5.434854,2.186956,30.48724,3.071192,1.689907
2.919998,5.38286,1.607884,27.96298,3.350821,1.723415
2.929998,5.38286,0.988086,25.48379,3.605659,1.759472
2.939998,5.178276,0.341002,22.07711,3.82643,1.797736
2.949998,5.178276,-0.3193975,19.43551,4.020785,1.837944
2.959998,4.85162,-0.9787403,15.49152,4.175701,1.879701
2.969998,4.565655,-1.622617,11.77215,4.293422,1.922635
2.979998,4.565655,-2.236851,9.315215,4.386574,1.966501
2.989998,3.720192,-2.807771,3.649684,4.423071,2.010732
2.999998,3.720192,-3.322471,1.590885,4.43898,2.055121
3.009998,3.06688,-3.769074,-2.808778,4.410892,2.09923
3.019998,1.440381,-4.136965,-10.78633,4.303029,2.142261
3.029998,1.440381,-4.416994,-11.90645,4.183964,2.1841
3.039998,0,-4.601675,-18.4067,3.999897,2.224099
3.049998,0,-4.685326,-18.7413,3.812484,2.262224
3.059998,0,-4.664204,-18.65682,3.625916,2.298483
3.069998,0,-4.536563,-18.14625,3.444453,2.332928
3.079998,0,-4.302737,-17.21095,3.272344,2.365651
3.089998,0,-3.965115,-15.86046,3.113739,2.396789
3.099998,0,-3.528133,-14.11253,2.972614,2.426515
3.109998,0,-2.998192,-11.99277,2.852687,2.455041
3.119998,-0.8418883,-2.383563,-12.9018,2.723669,2.482278
3.129997,-0.8418883,-1.694231,-10.14448,2.622224,2.5085
3.139997,-1.216017,-0.9417342,-8.631004,2.535914,2.533859
3.149997,-1.216017,-0.1389585,-5.419902,2.481715,2.558677
3.159997,-1.68396,0.7001008,-3.935438,2.44236,2.5831
