Name: 3, Condition: 1, Run: 4, Date: 10/9/2019 4:15:52 PM, Testing: False
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.9899994,2.690491,5.949421,34.55965,-0.1968974,-3.339896
0.9999993,2.690491,5.71357,33.61624,0.139265,-3.338503
1.009999,2.690491,5.375536,32.26411,0.4619061,-3.333884
1.019999,2.690491,4.940147,30.52255,0.7671316,-3.326213
1.029999,2.690491,4.41415,28.41856,1.051317,-3.3157
1.039999,2.690491,3.806116,25.98643,1.311181,-3.302588
1.049999,2.690491,3.126292,23.26713,1.543853,-3.287149
1.059999,2.690491,2.386396,20.30755,1.746928,-3.26968
1.069999,2.690491,1.59944,17.15972,1.918525,-3.250495
1.079999,2.690491,0.779474,13.87986,2.057324,-3.229922
1.089999,2.690491,-0.05865317,10.52735,2.162597,-3.208296
1.099999,2.690491,-0.8995933,7.163589,2.234233,-3.185953
1.109999,2.690491,-1.72774,3.851003,2.272743,-3.163226
1.119999,2.690491,-2.527537,0.6518154,2.279262,-3.140433
1.129999,2.690491,-3.283779,-2.373153,2.25553,-3.117878
1.139999,2.690491,-3.981862,-5.165483,2.203875,-3.095839
1.149999,2.690491,-4.608078,-7.670349,2.127172,-3.074567
1.159999,2.690491,-5.149864,-9.837492,2.028797,-3.054279
1.169999,2.690491,-5.596035,-11.62218,1.912575,-3.035154
1.179999,2.690491,-5.937024,-12.98613,1.782714,-3.017327
1.189999,2.690491,-6.165023,-13.89813,1.643733,-3.000889
1.199999,2.690491,-6.274165,-14.3347,1.500386,-2.985885
1.209999,2.690491,-6.260635,-14.28058,1.35758,-2.97231
1.219999,2.690491,-6.122753,-13.72905,1.220289,-2.960107
1.229999,2.690491,-5.861013,-12.68209,1.093468,-2.949172
1.239999,2.690491,-5.478095,-11.15042,0.9819642,-2.939352
1.249999,2.690491,-4.978815,-9.153297,0.8904313,-2.930448
1.259999,2.690491,-4.370065,-6.718298,0.8232483,-2.922215
1.269999,2.690491,-3.660697,-3.880826,0.78444,-2.914371
1.279999,2.690491,-2.861372,-0.6835251,0.7776048,-2.906595
1.289999,2.690491,-1.984383,2.824431,0.8058491,-2.898536
1.299999,2.690491,-1.043444,6.588188,0.871731,-2.889819
1.309999,2.690491,-0.05346514,10.5481,0.9772121,-2.880047
1.319999,2.690491,0.9697481,14.64095,1.123622,-2.868811
1.329999,2.690491,2.009706,18.80079,1.311629,-2.855695
1.339999,2.690491,3.049561,22.96021,1.541232,-2.840282
1.349999,2.690491,4.072396,27.05155,1.811747,-2.822165
1.359999,2.676927,5.061516,30.95377,2.121285,-2.800952
1.369999,2.676927,6.000738,34.71066,2.468391,-2.776268
1.379999,2.611369,6.874663,37.94413,2.847833,-2.74779
1.389999,2.571809,7.668999,40.96323,3.257465,-2.715215
1.399999,2.571809,8.370727,43.77014,3.695167,-2.678263
1.409999,2.470083,8.968378,45.75385,4.152705,-2.636736
1.419999,2.470083,9.452228,47.68924,4.629598,-2.59044
1.429999,2.306189,9.814456,48.48258,5.114423,-2.539296
1.439999,2.198811,10.04928,48.99236,5.604347,-2.483253
1.449999,2.198811,10.15305,49.40744,6.098421,-2.422269
1.459999,1.935452,10.12432,48.23909,6.580812,-2.356461
1.469999,1.935452,9.963851,47.59721,7.056784,-2.285893
1.479999,1.562453,9.674593,44.94818,7.506266,-2.21083
1.489999,1.377084,9.261636,42.55488,7.931815,-2.131512
1.499999,1.377084,8.732102,40.43674,8.336182,-2.04815
1.509999,0.9125319,8.095017,36.0302,8.696484,-1.961185
1.519999,0.9125319,7.361154,33.09474,9.027431,-1.870911
1.529999,0.4366766,6.542787,27.91785,9.30661,-1.777845
1.539999,0.1970532,5.653537,23.40236,9.540634,-1.682438
1.549999,0.1970532,4.708077,19.62052,9.736839,-1.58507
