Name: 0-1, Condition: 2, Run: 2, Date: 10/7/2019 9:36:42 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.9599994,0,6.026057,24.10423,-3.58689,-3.624357
0.9699994,0,6.105398,24.42159,-3.342674,-3.657784
0.9799994,0,6.080283,24.32113,-3.099463,-3.688778
0.9899994,0,5.949421,23.79768,-2.861486,-3.717393
0.9999993,0,5.71357,22.85428,-2.632943,-3.743723
1.009999,0,5.375536,21.50215,-2.417922,-3.767902
1.019999,0,4.940147,19.76059,-2.220316,-3.790105
1.029999,0,4.41415,17.6566,-2.04375,-3.810543
1.039999,0,3.806116,15.22446,-1.891505,-3.829458
1.049999,0,3.126292,12.50517,-1.766454,-3.847122
1.059999,0,2.386396,9.545585,-1.670998,-3.863832
1.069999,0,1.59944,6.39776,-1.60702,-3.879902
1.079999,0,0.779474,3.117896,-1.575841,-3.895661
1.089999,-0.04163743,-0.05865317,-0.4011624,-1.579853,-3.911459
1.099999,-0.04163743,-0.8995933,-3.764923,-1.617502,-3.927634
1.109999,-0.7955462,-1.72774,-10.09314,-1.718433,-3.944818
1.119999,-1.628576,-2.527537,-16.62445,-1.884678,-3.963665
1.129999,-1.628576,-3.283779,-19.64942,-2.081172,-3.984477
1.139999,-2.02644,-3.981862,-24.03321,-2.321504,-4.007692
1.149999,-2.02644,-4.608078,-26.53807,-2.586885,-4.033561
1.159999,-2.666189,-5.149864,-31.26421,-2.899527,-4.062556
1.169999,-3.12283,-5.596035,-34.87546,-3.248282,-4.095038
1.179999,-3.12283,-5.937024,-36.23941,-3.610676,-4.131145
1.189999,-3.322892,-6.165023,-37.95166,-3.990192,-4.171047
1.199999,-3.322892,-6.274165,-38.38823,-4.374075,-4.214787
1.209999,-3.595294,-6.260635,-39.42372,-4.768312,-4.262471
1.219999,-3.743363,-6.122753,-39.46446,-5.162957,-4.3141
1.229999,-3.743363,-5.861013,-38.4175,-5.547132,-4.369572
1.239999,-3.758057,-5.478095,-36.94461,-5.916578,-4.428738
1.249999,-3.758057,-4.978815,-34.94749,-6.266053,-4.491398
1.259999,-3.758057,-4.370065,-32.51249,-6.591177,-4.55731
1.269999,-3.758057,-3.660697,-29.67502,-6.887928,-4.626189
1.279999,-3.758057,-2.861372,-26.47771,-7.152705,-4.697716
1.289999,-3.758057,-1.984383,-22.96976,-7.382402,-4.77154
1.299999,-3.758057,-1.043444,-19.206,-7.574462,-4.847285
1.309999,-3.758057,-0.05346514,-15.24609,-7.726923,-4.924554
1.319999,-3.758057,0.9697481,-11.15323,-7.838456,-5.002938
1.329999,-3.758057,2.009706,-6.993403,-7.90839,-5.082022
1.339999,-3.728669,3.049561,-2.716434,-7.935554,-5.161378
1.349999,-3.728669,4.072396,1.374908,-7.921805,-5.240596
1.359999,-3.718497,5.061516,5.372079,-7.868084,-5.319277
1.369999,-3.674415,6.000738,9.305291,-7.775031,-5.397027
1.379999,-3.674415,6.874663,12.80099,-7.647021,-5.473497
1.389999,-3.624682,7.668999,16.17727,-7.485249,-5.54835
1.399999,-3.624682,8.370727,18.98418,-7.295407,-5.621304
1.409999,-3.609988,8.968378,21.43356,-7.081071,-5.692115
1.419999,-3.54217,9.452228,23.64023,-6.844669,-5.760561
1.429999,-3.54217,9.814456,25.08914,-6.593778,-5.826499
1.439999,-3.449486,10.04928,26.39917,-6.329786,-5.889797
1.449999,-3.449486,10.15305,26.81425,-6.061643,-5.950414
1.459999,-3.39184,10.12432,26.92992,-5.792344,-6.008337
1.469999,-3.269768,9.963851,26.77633,-5.524581,-6.063583
1.479999,-3.269768,9.674593,25.6193,-5.268388,-6.116267
1.489999,-3.174823,9.261636,24.34725,-5.024915,-6.166516
1.499999,-3.174823,8.732102,22.22912,-4.802624,-6.214542
1.509999,-3.075357,8.095017,20.07864,-4.601838,-6.260561
1.519999,-3.032406,7.361154,17.31499,-4.428688,-6.304847
1.529999,-3.032406,6.542787,14.04153,-4.288272,-6.34773
1.539999,-3.029015,5.653537,10.49809,-4.183291,-6.389563
1.549999,-3.029015,4.708077,6.71625,-4.116129,-6.430724
1.559999,-3.029015,3.721879,2.771456,-4.088414,-6.471608
1.569999,-3.029015,2.710935,-1.272321,-4.101137,-6.512619
1.579999,-3.029015,1.691466,-5.350196,-4.154639,-6.554166
1.589999,-3.029015,0.6796483,-9.397467,-4.248614,-6.596652
1.599999,-3.029015,-0.3087251,-13.35096,-4.382123,-6.640473
1.609999,-3.029015,-1.258458,-17.14989,-4.553622,-6.686009
1.619999,-3.060663,-2.155256,-20.86368,-4.762259,-6.733632
1.629999,-3.060663,-2.985975,-24.18655,-5.004125,-6.783673
1.639999,-3.099093,-3.738843,-27.35175,-5.277642,-6.83645
