Name: Lorenzo, Condition: 2, Run: 11, Date: 10/8/2019 12:10:46 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.9499994,3.612813,5.845571,37.83353,6.160723,0.104212
0.9599994,3.612813,6.026057,38.55548,6.546278,0.1696748
0.9699994,3.612813,6.105398,38.87284,6.935006,0.2390249
0.9799994,3.606032,6.080283,38.74526,7.322459,0.3122495
0.9899994,3.570993,5.949421,38.08165,7.703275,0.3892822
0.9999993,3.528041,5.71357,36.96645,8.07294,0.4700116
1.009999,3.473787,5.375536,35.39729,8.426913,0.5542807
1.019999,3.416142,4.940147,33.42516,8.761165,0.6418923
1.029999,3.275985,4.41415,30.76054,9.06877,0.73258
1.039999,3.1833,3.806116,27.95766,9.348347,0.8260635
1.049999,3.074792,3.126292,24.80434,9.59639,0.9220273
1.059999,2.927853,2.386396,21.257,9.80896,1.020117
1.069999,2.927853,1.59944,18.10917,9.990051,1.120017
1.079999,2.785435,0.779474,14.25964,10.13265,1.221344
1.089999,2.627194,-0.05865317,10.27416,10.23539,1.323698
1.099999,2.440695,-0.8995933,6.164406,10.29703,1.426668
1.109999,2.010051,-1.72774,1.129245,10.30832,1.529751
1.119999,1.750083,-2.527537,-3.109816,10.27723,1.632524
1.129999,1.444902,-3.283779,-7.355507,10.20367,1.73456
1.139999,1.102422,-3.981862,-11.51776,10.08849,1.835445
1.149999,0.6909936,-4.608078,-15.66834,9.931811,1.934763
1.159999,0.2592198,-5.149864,-19.56258,9.736186,2.032125
1.169999,0.2592198,-5.596035,-21.34726,9.522714,2.127352
1.179999,0,-5.937024,-23.74809,9.285233,2.220205
1.189999,0,-6.165023,-24.66009,9.038631,2.310591
1.199999,0,-6.274165,-25.09666,8.787664,2.398468
1.209999,0,-6.260635,-25.04254,8.537239,2.48384
1.219999,0,-6.122753,-24.49101,8.292329,2.566763
1.229999,0,-5.861013,-23.44405,8.057888,2.647342
1.239999,0,-5.478095,-21.91238,7.838764,2.72573
1.249999,0,-4.978815,-19.91526,7.639612,2.802126
1.259999,0,-4.370065,-17.48026,7.464809,2.876774
1.269999,0,-3.660697,-14.64279,7.318381,2.949958
1.279999,0,-2.861372,-11.44549,7.203926,3.021997
1.289999,0,-1.984383,-7.937532,7.124551,3.093243
1.299999,-0.104934,-1.043444,-4.593511,7.078616,3.164029
1.309999,-0.279,-0.05346514,-1.32986,7.065317,3.234682
1.319999,-0.4711507,0.9697481,1.99439,7.085261,3.305535
1.329999,-0.6847768,2.009706,5.299717,7.138258,3.376917
1.339999,-0.9662211,3.049561,8.333359,7.221591,3.449133
1.349999,-1.279314,4.072396,11.17233,7.333315,3.522466
1.359999,-2.004965,5.061516,12.2262,7.455577,3.597022
1.369999,-2.004965,6.000738,15.98309,7.615408,3.673176
1.379999,-2.438999,6.874663,17.74266,7.792834,3.751105
1.389999,-2.912594,7.668999,19.02562,7.98309,3.830935
1.399999,-3.373756,8.370727,19.98788,8.182969,3.912765
1.409999,-3.866565,8.968378,20.40725,8.387042,3.996636
1.419999,-4.962955,9.452228,17.95709,8.566613,4.082302
1.429999,-5.481761,9.814456,17.33078,8.739921,4.169701
1.439999,-5.996047,10.04928,16.21292,8.90205,4.258721
1.449999,-6.443645,10.15305,14.83762,9.050426,4.349226
1.459999,-6.873158,10.12432,13.00465,9.180473,4.44103
1.469999,-6.873158,9.963851,12.36277,9.304101,4.534071
1.479999,-7.25972,9.674593,9.659492,9.400696,4.628078
1.489999,-7.493691,9.261636,7.071777,9.471414,4.722792
1.499999,-7.633849,8.732102,4.393015,9.515344,4.817945
1.509999,-7.686972,8.095017,1.632181,9.531666,4.913262
1.519999,-7.694885,7.361154,-1.334925,9.518316,5.008446
1.529999,-7.694885,6.542787,-4.608391,9.472233,5.103168
1.539999,-7.637239,5.653537,-7.934807,9.392885,5.197097
1.549999,-7.582985,4.708077,-11.49963,9.277889,5.289876
1.559999,-7.555858,3.721879,-15.33592,9.12453,5.381121
1.569999,-7.555858,2.710935,-19.37969,8.930733,5.470428
1.579999,-7.542295,1.691466,-23.40332,8.696699,5.557395
1.589999,-7.534382,0.6796483,-27.41894,8.42251,5.64162
1.599999,-7.534382,-0.3087251,-31.37243,8.108786,5.722708
1.609999,-7.534382,-1.258458,-35.17136,7.757072,5.800279
1.619999,-7.534382,-2.155256,-38.75855,7.369486,5.873974
1.629999,-7.533252,-2.985975,-42.07691,6.948717,5.943461
1.639999,-7.524209,-3.738843,-45.05221,6.498195,6.008443
1.649999,-7.466565,-4.403668,-47.48093,6.023386,6.068677
1.659999,-7.397616,-4.972002,-49.47847,5.528601,6.123963
1.669999,-7.397616,-5.437296,-51.33965,5.015204,6.174115
1.679999,-7.309453,-5.794979,-52.41772,4.491027,6.219025
1.689999,-7.212247,-6.042545,-53.01917,3.960836,6.258634
1.699999,-7.077741,-6.179574,-53.02926,3.430543,6.292939
1.709999,-6.905936,-6.207723,-52.45464,2.905997,6.321999
1.719999,-6.709264,-6.130669,-51.35973,2.3924,6.345923
1.729999,-6.489986,-5.954041,-49.77611,1.894639,6.364869
1.739999,-6.016392,-5.685264,-46.80663,1.426572,6.379135
1.749999,-5.774508,-5.333437,-44.43178,0.9822546,6.388957
1.759999,-5.479501,-4.909131,-41.55453,0.5667093,6.394624
1.769999,-5.479501,-4.424177,-39.61471,0.1705622,6.39633
1.779999,-5.21275,-3.891427,-36.41671,-0.1936049,6.394394
1.789999,-4.932436,-3.324501,-33.02775,-0.5238824,6.389155
1.799999,-4.67812,-2.737531,-29.6626,-0.8205084,6.38095
1.809999,-4.391024,-2.144836,-26.14344,-1.081943,6.370131
1.819999,-4.143488,-1.560709,-22.81679,-1.310111,6.357029
1.829999,-3.751275,-0.9990984,-19.00149,-1.500126,6.342028
1.839999,-3.576079,-0.4733375,-16.19767,-1.662102,6.325407
1.849999,-3.415577,0.004108767,-13.64587,-1.798561,6.307421
1.859999,-3.249423,0.4218848,-11.31015,-1.911663,6.288305
1.869999,-3.249423,0.769967,-9.917824,-2.010841,6.268197
1.879999,-3.116047,1.03988,-8.304668,-2.093888,6.247258
1.889999,-2.970239,1.224821,-6.981672,-2.163704,6.225621
1.899999,-2.70688,1.319827,-5.548213,-2.219187,6.203429
1.909999,-2.590459,1.321863,-5.074385,-2.26993,6.180729
1.919999,-2.463866,1.229882,-4.935933,-2.31929,6.157537
1.929999,-2.333882,1.044858,-5.156096,-2.370851,6.133828
1.939999,-2.202767,0.7697648,-5.732008,-2.428171,6.109547
1.949998,-2.091998,0.4095129,-6.729939,-2.49547,6.084592
1.959998,-1.990271,-0.02911569,-8.077546,-2.576246,6.058829
1.969998,-1.990271,-0.5376108,-10.11153,-2.677361,6.032056
1.979998,-1.819596,-1.105889,-11.70194,-2.79438,6.004112
1.989998,-1.751778,-1.722482,-13.89704,-2.933351,5.974779
1.999998,-1.704305,-2.37475,-16.31622,-3.096513,5.943813
2.009999,-1.650051,-3.049122,-18.7967,-3.28448,5.910968
2.019999,-1.60823,-3.731366,-21.35839,-3.498064,5.875988
2.029999,-1.560758,-4.406835,-23.87037,-3.736768,5.83862
2.039999,-1.49181,-5.060766,-26.2103,-3.998871,5.798631
2.049999,-1.314353,-5.678555,-27.97163,-4.278587,5.755846
2.059999,-1.186629,-6.246041,-29.73068,-4.575894,5.710087
2.069999,-1.186629,-6.749773,-31.74561,-4.89335,5.661153
2.079998,-1.031779,-7.177303,-32.83633,-5.221714,5.608936
2.089998,-0.8396277,-7.51738,-33.42803,-5.555994,5.553376
2.099998,-0.6192197,-7.76021,-33.51772,-5.891171,5.494464
2.109998,-0.3615118,-7.897639,-33.03661,-6.221538,5.432249
2.119998,-0.08910977,-7.923331,-32.04976,-6.542035,5.366829
2.129998,0,-7.832892,-31.33157,-6.855351,5.298275
2.139998,0,-7.623978,-30.49591,-7.16031,5.226672
2.149998,0,-7.296359,-29.18544,-7.452165,5.152151
2.159998,0,-6.851918,-27.40767,-7.726242,5.074888
2.169998,0,-6.294677,-25.17871,-7.978029,4.995108
2.179998,0,-5.63071,-22.52284,-8.203258,4.913075
2.189998,0,-4.86807,-19.47228,-8.397981,4.829096
2.199998,0,-4.016648,-16.06659,-8.558646,4.743509
2.209998,0,-3.088026,-12.35211,-8.682167,4.656688
2.219998,0,-2.095246,-8.380983,-8.765977,4.569028
2.229998,0,-1.052638,-4.210551,-8.808083,4.480947
2.239998,0,0.02445536,0.09782146,-8.807104,4.392876
2.249998,0,1.119935,4.479742,-8.762307,4.305253
2.259998,0,2.217232,8.868927,-8.673618,4.218517
2.269998,0,3.299587,13.19835,-8.541635,4.133101
2.279998,0,4.350339,17.40136,-8.367621,4.049424
2.289998,0,5.353265,21.41306,-8.153491,3.967889
2.299998,0,6.292783,25.17113,-7.90178,3.888871
2.309998,0,7.154292,28.61717,-7.615608,3.812715
2.319998,0,7.924407,31.69763,-7.298632,3.739729
2.329998,0,8.591195,34.36478,-6.954984,3.670179
2.339998,0,9.144393,36.57757,-6.589208,3.604287
2.349998,0,9.575583,38.30233,-6.206185,3.542225
2.359998,0,9.878345,39.51338,-5.811051,3.484115
2.369998,0,10.04837,40.19347,-5.409116,3.430024
2.379998,0,10.08353,40.33413,-5.005775,3.379966
2.389998,0,9.983941,39.93576,-4.606417,3.333902
2.399998,0,9.751915,39.00766,-4.216341,3.291739
2.409998,0,9.391955,37.56782,-3.840662,3.253332
2.419998,0,8.910668,35.64267,-3.484236,3.21849
2.429998,0,8.31664,33.26656,-3.15157,3.186974
2.439998,0,7.620286,30.48114,-2.846758,3.158506
2.449998,0,6.833663,27.33465,-2.573412,3.132772
2.459998,0,5.970262,23.88105,-2.334601,3.109426
2.469998,0,5.044762,20.17905,-2.132811,3.088098
2.479998,0,4.072771,16.29108,-1.9699,3.068399
2.489998,0,3.070551,12.28221,-1.847078,3.049928
2.499998,0,2.054733,8.21893,-1.764889,3.032279
2.509998,0,1.042018,4.16807,-1.723208,3.015047
2.519998,0,0.04890884,0.1956354,-1.721252,2.997834
2.529998,0,-0.9086647,-3.634659,-1.757598,2.980258
2.539998,0,-1.815495,-7.261979,-1.830218,2.961956
2.549998,0,-2.657445,-10.62978,-1.936516,2.942591
2.559998,0,-3.421678,-13.68671,-2.073383,2.921857
2.569998,0,-4.096867,-16.38747,-2.237257,2.899485
2.579998,0,-4.67339,-18.69356,-2.424193,2.875243
2.589998,0,-5.143495,-20.57398,-2.629933,2.848944
2.599998,0,-5.501416,-22.00566,-2.849989,2.820444
