Name: Lorenzo, Condition: 2, Run: 16, Date: 10/8/2019 12:20:41 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.03,0,4.44924,17.79696,0.5210028,0.01032068
0.04,0,4.417681,17.67072,0.6977101,0.01729778
0.05,0,4.276578,17.10631,0.8687732,0.02598551
0.05999999,0.03429033,4.024192,16.23393,1.031113,0.03629664
0.06999999,0.1676657,3.660875,15.31416,1.184254,0.04813918
0.07999999,0.308953,3.189085,13.99215,1.324176,0.06138094
0.08999999,0.4197221,2.613359,12.13232,1.445499,0.07583593
0.09999999,0.4197221,1.940252,9.439896,1.539898,0.09123491
0.11,0.5203185,1.17823,6.794194,1.60784,0.1073133
0.12,0.6062212,0.3375367,3.775032,1.64559,0.1237692
0.13,0.6819511,-0.5699781,0.447892,1.650069,0.1402699
0.14,0.8074142,-1.531064,-2.8946,1.621123,0.1564811
0.15,0.8605382,-2.53129,-6.683008,1.554293,0.1720241
0.16,0.897838,-3.555301,-10.62985,1.447994,0.186504
0.17,0.9453106,-4.587086,-14.5671,1.302323,0.1995272
0.18,0.9780893,-5.610249,-18.52864,1.117037,0.2106976
0.19,1.028952,-6.608318,-22.31746,0.8938624,0.2196362
0.2,1.028952,-7.56502,-26.14427,0.6324197,0.2259604
0.21,1.09338,-8.464574,-29.48478,0.3375719,0.2293362
0.22,1.137461,-9.291985,-32.61809,0.01139104,0.2294501
0.23,1.172501,-10.03329,-35.44316,-0.3430406,0.2260197
0.24,1.20754,-10.67584,-37.8732,-0.7217726,0.2188019
0.25,1.242579,-11.20849,-39.86365,-1.120409,0.2075978
0.26,1.268576,-11.62184,-41.41306,-1.53454,0.1922524
0.27,1.287791,-11.90838,-42.48235,-1.959363,0.1726588
0.28,1.302485,-12.06263,-43.0406,-2.389769,0.1487611
0.29,1.32396,-12.08127,-43.02922,-2.820061,0.1205605
0.3,1.32396,-11.96315,-42.55675,-3.245629,0.08810423
0.31,1.339784,-11.70937,-41.47833,-3.660412,0.05150011
0.32,1.342045,-11.32324,-39.92476,-4.059659,0.01090351
0.33,1.345436,-10.81021,-37.8591,-4.438251,-0.03347899
0.3399999,1.345436,-10.17783,-35.32958,-4.791546,-0.08139445
0.3499999,1.353348,-9.435559,-32.32884,-5.114835,-0.1325428
0.3599999,1.353348,-8.594629,-28.96512,-5.404486,-0.1865876
0.3699999,1.353348,-7.667868,-25.25808,-5.657067,-0.2431583
0.3799999,1.355609,-6.669437,-21.25531,-5.86962,-0.3018545
0.3899999,1.355609,-5.614624,-17.03606,-6.03998,-0.3622543
0.3999999,1.355609,-4.519543,-12.65574,-6.166538,-0.4239197
0.4099999,1.355609,-3.400883,-8.181095,-6.248349,-0.4864032
0.4199999,1.356739,-2.27559,-3.675406,-6.285103,-0.5492542
0.4299999,1.363521,-1.160591,0.8117213,-6.276986,-0.6120241
0.4399998,1.368042,-0.0724965,5.182182,-6.225164,-0.6742757
0.4499998,1.368042,0.9726955,9.36295,-6.131535,-0.7355911
0.4599998,1.373693,1.959859,13.33421,-5.998192,-0.795573
0.4699998,1.390648,2.875019,17.06267,-5.827566,-0.8538486
0.4799998,1.39856,3.705569,20.41652,-5.623401,-0.9100826
0.4899998,1.403081,4.440506,23.37435,-5.389657,-0.9639792
