Name: Lorenzo, Condition: 2, Run: 6, Date: 10/8/2019 12:01:05 PM, Testing: False
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.02,0,4.375035,17.50014,0.3430333,0.005110651
0.03,0,4.44924,17.79696,0.5210028,0.01032068
0.04,0,4.417681,17.67072,0.6977101,0.01729778
0.05,0,4.276578,17.10631,0.8687732,0.02598551
0.05999999,0,4.024192,16.09677,1.029741,0.03628292
0.06999999,0,3.660875,14.6435,1.176176,0.04804468
0.07999999,0,3.189085,12.75634,1.303739,0.06108207
0.08999999,0,2.613359,10.45343,1.408274,0.07516481
0.09999999,0,1.940252,7.761007,1.485884,0.09002364
0.11,0,1.17823,4.71292,1.533013,0.1053538
0.12,0,0.3375367,1.350147,1.546514,0.1208189
0.13,0,-0.5699781,-2.279912,1.523715,0.1360561
0.14,0,-1.531064,-6.124257,1.462473,0.1506808
0.15,0,-2.53129,-10.12516,1.361221,0.164293
0.16,0,-3.555301,-14.2212,1.219009,0.1764831
0.17,0.04333285,-4.587086,-18.17501,1.037259,0.1868557
0.18,0.1450598,-5.610249,-21.86076,0.8186513,0.1950422
0.19,0.3191255,-6.608318,-25.15677,0.5670836,0.200713
0.2,0.3191255,-7.56502,-28.98358,0.2772478,0.2034855
0.21,0.4717159,-8.464574,-31.97143,-0.0424665,0.2030609
0.22,0.5248399,-9.291985,-35.06858,-0.3931523,0.1991293
0.23,0.5248399,-10.03329,-38.03381,-0.7734904,0.1913944
0.24,0.5768334,-10.67584,-40.39603,-1.177451,0.1796199
0.25,0.635609,-11.20849,-42.29153,-1.600366,0.1636163
0.26,0.6808208,-11.62184,-43.76408,-2.038007,0.1432362
0.27,0.7203811,-11.90838,-44.752,-2.485527,0.1183809
0.28,0.8006325,-12.06263,-45.048,-2.936007,0.08902085
0.29,0.8356717,-12.08127,-44.98238,-3.385831,0.05516254
0.3,0.8673202,-11.96315,-44.38331,-3.829664,0.01686591
0.31,0.8955775,-11.70937,-43.25516,-4.262215,-0.02575625
0.32,0.9136622,-11.32324,-41.63829,-4.678598,-0.07254222
0.33,0.9136622,-10.81021,-39.5862,-5.07446,-0.1232868
0.3399999,0.9385287,-10.17783,-36.95721,-5.444032,-0.1777271
0.3499999,0.9633954,-9.435559,-33.88866,-5.782919,-0.2355563
0.3599999,0.9713073,-8.594629,-30.49329,-6.087852,-0.2964348
0.3699999,0.9713073,-7.667868,-26.78624,-6.355714,-0.359992
0.3799999,0.984871,-6.669437,-22.73826,-6.583097,-0.425823
0.3899999,0.9871316,-5.614624,-18.50997,-6.768197,-0.4935049
0.3999999,0.9871316,-4.519543,-14.12965,-6.909493,-0.5625999
0.4099999,0.9871316,-3.400883,-9.655005,-7.006043,-0.6326603
0.4199999,0.9871316,-2.27559,-5.153835,-7.057581,-0.7032362
0.4299999,0.9871316,-1.160591,-0.6938357,-7.06452,-0.7738814
0.4399998,0.9871316,-0.0724965,3.65854,-7.027935,-0.8441607
0.4499998,0.9871316,0.9726955,7.839309,-6.949542,-0.9136562
0.4599998,0.9871316,1.959859,11.78796,-6.831662,-0.9819728
0.4699998,0.9871316,2.875019,15.4486,-6.677176,-1.048745
0.4799998,0.9871316,3.705569,18.7708,-6.489468,-1.113639
0.4899998,0.992783,4.440506,21.73315,-6.272136,-1.176361
0.4999998,0.992783,5.070591,24.2535,-6.029601,-1.236657
0.5099998,0.992783,5.588519,26.32521,-5.766349,-1.29432
0.5199998,0.992783,5.989013,27.92719,-5.487077,-1.349191
0.5299998,0.992783,6.268928,29.04684,-5.196609,-1.401157
0.5399998,0.992783,6.427269,29.68021,-4.899806,-1.450155
0.5499998,0.992783,6.465206,29.83195,-4.601487,-1.49617
0.5599998,0.992783,6.386023,29.51522,-4.306335,-1.539233
0.5699998,0.992783,6.195053,28.75134,-4.018822,-1.579422
0.5799997,0.992783,5.899548,27.56932,-3.743129,-1.616853
0.5899997,0.992783,5.508548,26.00533,-3.483075,-1.651684
0.5999997,0.992783,5.032696,24.10192,-3.242056,-1.684104
0.6099997,0.992783,4.484011,21.90718,-3.022985,-1.714334
0.6199997,0.992783,3.875679,19.47385,-2.828246,-1.742616
0.6299997,0.992783,3.22179,16.85829,-2.659663,-1.769213
0.6399997,0.992783,2.537072,14.11942,-2.518469,-1.794398
0.6499997,0.992783,1.836588,11.31748,-2.405294,-1.818451
0.6599997,0.992783,1.135491,8.513097,-2.320163,-1.841652
0.6699997,0.992783,0.4487189,5.766007,-2.262503,-1.864277
0.6799996,0.992783,-0.2093081,3.133899,-2.231164,-1.886589
0.6899996,0.999565,-0.8249119,0.6986125,-2.224178,-1.908831
0.6999996,0.999565,-1.385438,-1.543492,-2.239613,-1.931227
0.7099996,1.005216,-1.879484,-3.497072,-2.274584,-1.953973
0.7199996,1.011998,-2.297116,-5.140472,-2.325989,-1.977233
0.7299996,1.023301,-2.630034,-6.426933,-2.390258,-2.001135
0.7399996,1.023301,-2.871731,-7.393719,-2.464195,-2.025777
0.7499996,1.048168,-3.017612,-7.877779,-2.542973,-2.051207
0.7599996,1.075295,-3.065064,-7.959077,-2.622564,-2.077432
0.7699996,1.096771,-3.013504,-7.666932,-2.699233,-2.104425
0.7799996,1.138592,-2.864379,-6.903151,-2.768264,-2.132107
0.7899995,1.203019,-2.621131,-5.67245,-2.824989,-2.160357
0.7999995,1.250491,-2.289124,-4.154531,-2.866534,-2.189023
0.8099995,1.421166,-1.875536,-1.817481,-2.884709,-2.21787
0.8199995,1.499157,-1.389202,0.4398184,-2.880311,-2.246673
0.8299995,1.591841,-0.8404642,3.005507,-2.850256,-2.275175
0.8399995,1.591841,-0.240946,5.403579,-2.79622,-2.303137
0.8499995,1.713913,0.396664,8.442309,-2.711797,-2.330255
0.8599995,1.811119,1.05888,11.48,-2.596997,-2.356225
0.8699995,1.904933,1.731654,14.54635,-2.451534,-2.380741
