Name: Lorenzo, Condition: 2, Run: 12, Date: 10/7/2019 11:17:00 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.9899994,3.48283,5.949421,37.729,3.053405,-2.390648
0.9999993,3.29746,5.71357,36.04412,3.413846,-2.35651
1.009999,3.159564,5.375536,34.1404,3.75525,-2.318957
1.019999,2.988889,4.940147,31.71615,4.072412,-2.278233
1.029999,2.774132,4.41415,28.75313,4.359943,-2.234634
1.039999,2.544682,3.806116,25.40319,4.613976,-2.188494
1.049999,2.544682,3.126292,22.6839,4.840815,-2.140086
1.059999,2.253065,2.386396,18.55785,5.026393,-2.089822
1.069999,1.546629,1.59944,12.58428,5.152236,-2.0383
1.079999,1.103552,0.779474,7.532106,5.227557,-1.986024
1.089999,0.6175243,-0.05865317,2.235484,5.249912,-1.933525
1.099999,0.1665354,-0.8995933,-2.932232,5.22059,-1.881319
1.109999,0,-1.72774,-6.91096,5.15148,-1.829805
1.119999,0,-2.527537,-10.11015,5.050379,-1.779301
1.129999,0,-3.283779,-13.13512,4.919028,-1.730111
1.139999,0,-3.981862,-15.92745,4.759753,-1.682513
1.149999,0,-4.608078,-18.43231,4.57543,-1.636759
1.159999,0,-5.149864,-20.59945,4.369435,-1.593064
1.169999,0,-5.596035,-22.38414,4.145594,-1.551608
1.179999,0,-5.937024,-23.74809,3.908113,-1.512527
1.189999,0,-6.165023,-24.66009,3.661512,-1.475912
1.199999,0,-6.274165,-25.09666,3.410546,-1.441807
1.209999,0,-6.260635,-25.04254,3.16012,-1.410206
1.219999,0,-6.122753,-24.49101,2.91521,-1.381053
1.229999,0,-5.861013,-23.44405,2.68077,-1.354246
1.239999,0,-5.478095,-21.91238,2.461646,-1.329629
1.249999,0,-4.978815,-19.91526,2.262493,-1.307004
1.259999,0,-4.370065,-17.48026,2.087691,-1.286127
1.269999,0,-3.660697,-14.64279,1.941263,-1.266715
1.279999,0,-2.861372,-11.44549,1.826808,-1.248447
1.289999,0,-1.984383,-7.937532,1.747433,-1.230972
1.299999,0,-1.043444,-4.173775,1.705695,-1.213915
1.309999,0,-0.05346514,-0.2138605,1.703556,-1.19688
1.319999,0,0.9697481,3.878993,1.742346,-1.179456
1.329999,0,2.009706,8.038824,1.822734,-1.161229
1.339999,0,3.049561,12.19824,1.944717,-1.141782
1.349999,0,4.072396,16.28959,2.107613,-1.120706
1.359999,0,5.061516,20.24607,2.310074,-1.097605
