Name: Lorenzo, Condition: 1, Run: 12, Date: 10/8/2019 12:12:33 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.02,2.42487,4.375035,27.19962,0.4400281,0.006080599
0.03,2.42487,4.44924,27.49644,0.7149925,0.01323052
0.04,2.42487,4.417681,27.3702,0.9886945,0.02311747
0.05,2.42487,4.276578,26.80579,1.256752,0.03568499
0.05999999,2.42487,4.024192,25.79625,1.514715,0.05083214
0.06999999,2.42487,3.660875,24.34298,1.758145,0.06841359
0.07999999,2.42487,3.189085,22.45582,1.982703,0.08824062
0.08999999,2.42487,2.613359,20.15292,2.184232,0.1100829
0.09999999,2.42487,1.940252,17.46049,2.358837,0.1336713
0.11,2.42487,1.17823,14.4124,2.502961,0.1587009
0.12,2.42487,0.3375367,11.04963,2.613457,0.1848355
0.13,2.42487,-0.5699781,7.419569,2.687653,0.211712
0.14,2.42487,-1.531064,3.575224,2.723405,0.2389461
0.15,2.42487,-2.53129,-0.4256802,2.719148,0.2661375
0.16,2.42487,-3.555301,-4.521724,2.673931,0.2928768
0.17,2.42487,-4.587086,-8.648864,2.587442,0.3187513
0.18,2.42487,-5.610249,-12.74152,2.460027,0.3433515
0.19,2.42487,-6.608318,-16.73379,2.292689,0.3662784
0.2,2.42487,-7.56502,-20.5606,2.087083,0.3871493
0.21,2.42487,-8.464574,-24.15881,1.845495,0.4056042
0.22,2.42487,-9.291985,-27.46846,1.570811,0.4213123
0.23,2.42487,-10.03329,-30.43369,1.266474,0.4339771
0.24,2.42487,-10.67584,-33.00388,0.936435,0.4433414
0.25,2.42487,-11.20849,-35.13448,0.5850902,0.4491923
0.26,2.42487,-11.62184,-36.78788,0.2172113,0.4513644
0.27,2.42487,-11.90838,-37.93404,-0.162129,0.4497432
0.28,2.419219,-12.06263,-38.57366,-0.5478656,0.4442645
0.29,2.354792,-12.08127,-38.9059,-0.9369246,0.4348952
0.3,2.220287,-11.96315,-38.97144,-1.326639,0.4216289
0.31,2.220287,-11.70937,-37.95632,-1.706202,0.4045669
0.32,2.151339,-11.32324,-36.68759,-2.073078,0.3838361
0.33,1.920757,-10.81021,-35.55782,-2.428656,0.3595495
0.3399999,1.771558,-10.17783,-33.62509,-2.764907,0.3319004
0.3499999,1.633662,-9.435559,-31.20759,-3.076983,0.3011306
0.3599999,1.464117,-8.594629,-28.52205,-3.362204,0.2675086
0.3699999,1.464117,-7.667868,-24.815,-3.610354,0.231405
0.3799999,1.310397,-6.669437,-21.43616,-3.824715,0.1931579
0.3899999,1.143113,-5.614624,-17.88604,-4.003576,0.1531221
0.3999999,0.9204439,-4.519543,-14.3964,-4.14754,0.1116467
0.4099999,0.7135994,-3.400883,-10.74913,-4.255031,0.06909642
0.4199999,0.2207897,-2.27559,-8.219203,-4.337223,0.02572419
0.4299999,0,-1.160591,-4.642362,-4.383646,-0.01811227
0.4399998,0,-0.0724965,-0.289986,-4.386546,-0.06197773
0.4499998,0,0.9726955,3.890782,-4.347638,-0.1054541
0.4599998,0,1.959859,7.839437,-4.269244,-0.1481465
0.4699998,0,2.875019,11.50008,-4.154243,-0.189689
0.4799998,0,3.705569,14.82228,-4.00602,-0.2297492
0.4899998,0,4.440506,17.76202,-3.8284,-0.2680331
0.4999998,0,5.070591,20.28237,-3.625576,-0.3042889
0.5099998,0,5.588519,22.35408,-3.402035,-0.3383093
0.5199998,0,5.989013,23.95605,-3.162475,-0.369934
0.5299998,0,6.268928,25.07571,-2.911718,-0.3990512
