Name: Lorenzo, Condition: 1, Run: 7, Date: 10/8/2019 12:03:20 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.02,0.7995022,4.375035,20.69815,0.3750134,0.005430452
0.03,0.8006325,4.44924,20.99949,0.5850083,0.01128053
0.04,0.8277595,4.417681,20.98176,0.7948259,0.01922879
0.05,0.8277595,4.276578,20.41735,0.9989994,0.02921879
0.05999999,0.8345414,4.024192,19.43493,1.193349,0.04115227
0.06999999,0.8469746,3.660875,18.0314,1.373663,0.0548889
0.07999999,0.8492354,3.189085,16.15328,1.535195,0.07024085
0.08999999,0.8594079,2.613359,13.89107,1.674106,0.08698191
0.09999999,0.8594079,1.940252,11.19864,1.786092,0.1048428
0.11,0.8594079,1.17823,8.150551,1.867598,0.1235188
0.12,0.8594079,0.3375367,4.787778,1.915476,0.1426736
0.13,0.8594079,-0.5699781,1.157719,1.927053,0.1619441
0.14,0.8594079,-1.531064,-2.686625,1.900187,0.180946
0.15,0.8594079,-2.53129,-6.68753,1.833311,0.1992791
0.16,0.863929,-3.555301,-10.76549,1.725657,0.2165356
0.17,0.863929,-4.587086,-14.89263,1.57673,0.2323029
0.18,0.8661896,-5.610249,-18.97624,1.386968,0.2461726
0.19,0.8661896,-6.608318,-22.96852,1.157283,0.2577454
0.2,0.8661896,-7.56502,-26.79532,0.8893295,0.2666387
0.21,0.8661896,-8.464574,-30.39354,0.5853941,0.2724927
0.22,0.8661896,-9.291985,-33.70318,0.2483624,0.2749763
0.23,0.8661896,-10.03329,-36.66841,-0.1183217,0.2737931
0.24,0.8661896,-10.67584,-39.2386,-0.5107077,0.268686
0.25,0.8661896,-11.20849,-41.36921,-0.9243998,0.259442
0.26,0.8661896,-11.62184,-43.02261,-1.354626,0.2458958
0.27,0.8661896,-11.90838,-44.16876,-1.796313,0.2279326
0.28,0.8661896,-12.06263,-44.78577,-2.244171,0.2054909
0.29,0.8661896,-12.08127,-44.86031,-2.692774,0.1785632
0.3,0.8661896,-11.96315,-44.38783,-3.136652,0.1471967
0.31,0.8661896,-11.70937,-43.37271,-3.570379,0.1114929
0.32,0.8684505,-11.32324,-41.81914,-3.988571,0.07160717
0.33,0.8684505,-10.81021,-39.76705,-4.386241,0.02774475
0.3399999,0.8684505,-10.17783,-37.23753,-4.758617,-0.01984142
0.3499999,0.8684505,-9.435559,-34.26844,-5.101301,-0.07085443
0.3599999,0.8684505,-8.594629,-30.90471,-5.410348,-0.1249579
0.3699999,0.8684505,-7.667868,-27.19767,-5.682325,-0.1817812
0.3799999,0.8684505,-6.669437,-23.20395,-5.914364,-0.2409248
0.3899999,0.8684505,-5.614624,-18.98469,-6.104211,-0.3019669
0.3999999,0.8684505,-4.519543,-14.60437,-6.250255,-0.3644695
0.4099999,0.8684505,-3.400883,-10.12973,-6.351552,-0.427985
0.4199999,0.8684505,-2.27559,-5.62856,-6.407838,-0.4920634
0.4299999,0.8684505,-1.160591,-1.16856,-6.419523,-0.5562586
0.4399998,0.8684505,-0.0724965,3.183816,-6.387685,-0.6201355
0.4499998,0.8684505,0.9726955,7.364584,-6.314039,-0.6832759
0.4599998,0.8684505,1.959859,11.31324,-6.200907,-0.7452849
0.4699998,0.8684505,2.875019,14.97388,-6.051168,-0.8057966
0.4799998,0.8684505,3.705569,18.29608,-5.868207,-0.8644786
0.4899998,0.8684505,4.440506,21.23582,-5.655849,-0.9210371
0.4999998,0.8684505,5.070591,23.75617,-5.418287,-0.97522
0.5099998,0.8684505,5.588519,25.82788,-5.160008,-1.02682
0.5199998,0.8684505,5.989013,27.42986,-4.885709,-1.075677
0.5299998,0.8684505,6.268928,28.54951,-4.600214,-1.121679
0.5399998,0.8684505,6.427269,29.18288,-4.308385,-1.164763
0.5499998,0.8684505,6.465206,29.33463,-4.015039,-1.204914
0.5599998,0.8684505,6.386023,29.01789,-3.72486,-1.242162
0.5699998,0.8684505,6.195053,28.25401,-3.44232,-1.276585
0.5799997,0.8684505,5.899548,27.07199,-3.1716,-1.308301
0.5899997,0.8684505,5.508548,25.508,-2.91652,-1.337467
0.5999997,0.8684505,5.032696,23.60459,-2.680474,-1.364271
0.6099997,0.8684505,4.484011,21.40985,-2.466376,-1.388935
0.6199997,0.8684505,3.875679,18.97652,-2.27661,-1.411701
0.6299997,0.8684505,3.22179,16.36096,-2.113001,-1.432831
0.6399997,0.8684505,2.537072,13.62209,-1.97678,-1.452599
0.6499997,0.8684505,1.836588,10.82015,-1.868578,-1.471285
0.6599997,0.8684505,1.135491,8.015767,-1.788421,-1.489169
0.6699997,0.8684505,0.4487189,5.268677,-1.735734,-1.506526
0.6799996,0.8684505,-0.2093081,2.636569,-1.709368,-1.52362
0.6899996,0.8684505,-0.8249119,0.1741543,-1.707627,-1.540696
0.6999996,0.8684505,-1.385438,-2.06795,-1.728306,-1.557979
0.7099996,0.8684505,-1.879484,-4.044135,-1.768748,-1.575667
0.7199996,0.8684505,-2.297116,-5.714664,-1.825894,-1.593926
0.7299996,0.8684505,-2.630034,-7.046336,-1.896358,-1.612889
0.7399996,0.8684505,-2.871731,-8.013122,-1.976489,-1.632654
0.7499996,0.8752321,-3.017612,-8.569521,-2.062184,-1.653276
0.7599996,0.8752321,-3.065064,-8.759329,-2.149777,-1.674774
0.7699996,0.8899261,-3.013504,-8.49431,-2.23472,-1.697121
0.7799996,0.9091411,-2.864379,-7.820953,-2.31293,-1.72025
0.7899995,0.9306167,-2.621131,-6.762058,-2.380551,-1.744056
