Name: 8, Condition: 3, Run: 15, Date: 10/16/2019 3:55:02 PM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.02,2.151339,4.375035,26.1055,0.4290868,0.005971186
0.03,2.151339,4.44924,26.40232,0.6931099,0.01290229
0.04,2.151339,4.417681,26.27608,0.9558707,0.02246099
0.05,2.151339,4.276578,25.71167,1.212987,0.03459087
0.05999999,2.017963,4.024192,24.16862,1.454674,0.0491376
0.06999999,1.978403,3.660875,22.55711,1.680245,0.06594004
0.07999999,1.978403,3.189085,20.66995,1.886944,0.08480948
0.08999999,1.920757,2.613359,18.13647,2.068309,0.1054926
0.09999999,1.920757,1.940252,15.44404,2.222749,0.1277201
0.11,1.906064,1.17823,12.33718,2.346121,0.1511813
0.12,1.906064,0.3375367,8.974401,2.435865,0.1755399
0.13,1.906064,-0.5699781,5.344343,2.489308,0.200433
0.14,1.908324,-1.531064,1.509041,2.504399,0.225477
0.15,1.908324,-2.53129,-2.491863,2.47948,0.2502718
0.16,1.908324,-3.555301,-6.587907,2.413601,0.2744078
0.17,1.908324,-4.587086,-10.71505,2.306451,0.2974723
0.18,1.908324,-5.610249,-14.8077,2.158374,0.319056
0.19,1.908324,-6.608318,-18.79998,1.970374,0.3387598
0.2,1.908324,-7.56502,-22.62678,1.744106,0.3562008
0.21,1.907194,-8.464574,-26.22952,1.481811,0.3710189
0.22,1.907194,-9.291985,-29.53916,1.186419,0.3828831
0.23,1.907194,-10.03329,-32.50439,0.8613755,0.3914969
0.24,1.907194,-10.67584,-35.07458,0.5106296,0.3966032
0.25,1.907194,-11.20849,-37.20519,0.1385777,0.397989
0.26,1.901543,-11.62184,-38.8812,-0.2502342,0.3954866
0.27,1.875546,-11.90838,-40.13134,-0.6515476,0.3889711
0.28,1.875546,-12.06263,-40.74835,-1.059031,0.3783808
0.29,1.840506,-12.08127,-40.96304,-1.468661,0.3636942
0.3,1.840506,-11.96315,-40.49056,-1.873567,0.3449585
0.31,1.817901,-11.70937,-39.56586,-2.269226,0.3222663
0.32,1.763646,-11.32324,-38.23836,-2.651609,0.2957502
0.33,1.763646,-10.81021,-36.18626,-3.013472,0.2656155
0.3399999,1.684525,-10.17783,-33.97322,-3.353204,0.2320835
0.3499999,1.684525,-9.435559,-31.00414,-3.663245,0.195451
0.3599999,1.577147,-8.594629,-28.06993,-3.943945,0.1560116
0.3699999,1.508199,-7.667868,-24.63868,-4.190331,0.1141082
0.3799999,1.508199,-6.669437,-20.64495,-4.396781,0.07014044
0.3899999,1.400821,-5.614624,-16.85521,-4.565333,0.02448712
0.3999999,1.400821,-4.519543,-12.47489,-4.690082,-0.0224137
0.4099999,1.36013,-3.400883,-8.163012,-4.771712,-0.07013082
0.4199999,1.256142,-2.27559,-4.077792,-4.81249,-0.1182557
0.4299999,1.256142,-1.160591,0.3822079,-4.808668,-0.1663424
0.4399998,1.16911,-0.0724965,4.386453,-4.764803,-0.2139904
0.4499998,1.16911,0.9726955,8.567221,-4.679131,-0.2607817
0.4599998,1.13294,1.959859,12.3712,-4.555418,-0.3063359
0.4699998,1.051559,2.875019,15.70631,-4.398355,-0.3503195
0.4799998,1.051559,3.705569,19.02851,-4.20807,-0.3924002
0.4899998,0.9498318,4.440506,21.56135,-3.992457,-0.4323247
0.4999998,0.9498318,5.070591,24.08169,-3.75164,-0.4698411
0.5099998,0.8786229,5.588519,25.86857,-3.492954,-0.5047706
0.5199998,0.6729088,5.989013,26.64769,-3.226477,-0.5370354
0.5299998,0.6729088,6.268928,27.76735,-2.948804,-0.5665234
0.5399998,0.3406011,6.427269,27.07148,-2.678089,-0.5933043
0.5499998,0.3406011,6.465206,27.22323,-2.405857,-0.6173629
0.5599998,0.1258447,6.386023,26.04747,-2.145382,-0.6388167
0.5699998,0,6.195053,24.78021,-1.89758,-0.6577925
0.5799997,0,5.899548,23.59819,-1.661598,-0.6744085
0.5899997,0,5.508548,22.03419,-1.441256,-0.6888211
0.5999997,0,5.032696,20.13078,-1.239948,-0.7012206
0.6099997,0,4.484011,17.93604,-1.060588,-0.7118264
0.6199997,0,3.875679,15.50271,-0.9055609,-0.7208821
0.6299997,0,3.22179,12.88716,-0.7766893,-0.728649
0.6399997,0,2.537072,10.14829,-0.6752064,-0.735401
0.6499997,0,1.836588,7.346351,-0.6017429,-0.7414185
0.6599997,0,1.135491,4.541965,-0.5563233,-0.7469817
0.6699997,0,0.4487189,1.794876,-0.5383745,-0.7523655
0.6799996,0,-0.2093081,-0.8372325,-0.5467469,-0.7578329
0.6899996,0,-0.8249119,-3.299648,-0.5797433,-0.7636304
0.6999996,0,-1.385438,-5.541752,-0.6351609,-0.769982
0.7099996,0,-1.879484,-7.517937,-0.7103403,-0.7770854
0.7199996,0,-2.297116,-9.188465,-0.8022249,-0.7851076
0.7299996,0,-2.630034,-10.52014,-0.9074263,-0.7941819
0.7399996,0,-2.871731,-11.48692,-1.022295,-0.8044049
0.7499996,0,-3.017612,-12.07045,-1.143,-0.8158349
0.7599996,0,-3.065064,-12.26026,-1.265603,-0.8284909
0.7699996,0,-3.013504,-12.05401,-1.386143,-0.8423523
0.7799996,0,-2.864379,-11.45752,-1.500718,-0.8573595
0.7899995,0,-2.621131,-10.48452,-1.605563,-0.8734152
0.7999995,0,-2.289124,-9.156496,-1.697128,-0.8903865
0.8099995,0,-1.875536,-7.502146,-1.77215,-0.9081079
0.8199995,0,-1.389202,-5.556808,-1.827718,-0.9263851
0.8299995,0,-0.8404642,-3.361857,-1.861336,-0.9449984
0.8399995,0,-0.240946,-0.963784,-1.870974,-0.9637082
0.8499995,0,0.396664,1.586656,-1.855108,-0.9822592
0.8599995,0,1.05888,4.235521,-1.812752,-1.000387
0.8699995,0,1.731654,6.926614,-1.743486,-1.017822
0.8799995,0,2.400659,9.602634,-1.64746,-1.034296
0.8899994,0,3.051595,12.20638,-1.525396,-1.04955
0.8999994,0,3.670428,14.68171,-1.378579,-1.063336
0.9099994,0,4.243689,16.97476,-1.208832,-1.075424
0.9199994,0,4.758729,19.03492,-1.018482,-1.085609
0.9299994,0,5.203988,20.81595,-0.8103228,-1.093712
0.9399994,0,5.56919,22.27676,-0.5875552,-1.099588
0.9499994,0,5.845571,23.38228,-0.3537324,-1.103125
0.9599994,0,6.026057,24.10423,-0.1126901,-1.104252
0.9699994,0,6.105398,24.42159,0.1315258,-1.102937
0.9799994,0,6.080283,24.32113,0.3747371,-1.09919
0.9899994,0,5.949421,23.79768,0.6127139,-1.093062
0.9999993,0,5.71357,22.85428,0.8412567,-1.08465
1.009999,0,5.375536,21.50215,1.056278,-1.074087
1.019999,0,4.940147,19.76059,1.253884,-1.061548
1.029999,0,4.41415,17.6566,1.43045,-1.047244
1.039999,0,3.806116,15.22446,1.582695,-1.031417
1.049999,0,3.126292,12.50517,1.707747,-1.014339
1.059999,0,2.386396,9.545585,1.803202,-0.9963073
1.069999,0,1.59944,6.39776,1.86718,-0.9776355
1.079999,0,0.779474,3.117896,1.898359,-0.9586519
1.089999,0,-0.05865317,-0.2346127,1.896013,-0.9396918
1.099999,0,-0.8995933,-3.598373,1.860029,-0.9210915
1.109999,0,-1.72774,-6.91096,1.79092,-0.9031823
1.119999,0,-2.527537,-10.11015,1.689818,-0.8862842
1.129999,0,-3.283779,-13.13512,1.558467,-0.8706995
1.139999,0,-3.981862,-15.92745,1.399192,-0.8567076
1.149999,0,-4.608078,-18.43231,1.214869,-0.8445589
1.159999,0,-5.149864,-20.59945,1.008875,-0.8344702
1.169999,0,-5.596035,-22.38414,0.7850335,-0.8266198
1.179999,0,-5.937024,-23.74809,0.5475526,-0.8211443
1.189999,-0.4451537,-6.165023,-26.44071,0.2831455,-0.8183128
1.199999,-0.4451537,-6.274165,-26.87727,0.01437279,-0.8181691
1.209999,-0.7039918,-6.260635,-27.85851,-0.2642123,-0.8208112
1.219999,-1.22732,-6.122753,-29.40029,-0.5582151,-0.8263934
1.229999,-1.22732,-5.861013,-28.35333,-0.8417484,-0.8348109
1.239999,-1.641009,-5.478095,-28.47642,-1.126513,-0.846076
1.249999,-1.641009,-4.978815,-26.4793,-1.391305,-0.859989
1.259999,-1.91115,-4.370065,-25.12486,-1.642554,-0.8764145
1.269999,-2.06261,-3.660697,-22.89323,-1.871486,-0.8951294
1.279999,-2.06261,-2.861372,-19.69593,-2.068446,-0.9158139
1.289999,-2.069391,-1.984383,-16.2151,-2.230597,-0.9381198
1.299999,-2.069391,-1.043444,-12.45134,-2.35511,-0.9616709
1.309999,-2.069391,-0.05346514,-8.491426,-2.440024,-0.9860712
1.319999,-2.014007,0.9697481,-4.177037,-2.481795,-1.010889
1.329999,-2.014007,2.009706,-0.01720524,-2.481967,-1.035709
1.339999,-1.940538,3.049561,4.436091,-2.437606,-1.060085
1.349999,-1.940538,4.072396,8.527433,-2.352332,-1.083608
1.359999,-1.914541,5.061516,12.5879,-2.226453,-1.105873
1.369999,-1.905499,6.000738,16.38095,-2.062643,-1.126499
1.379999,-1.905499,6.874663,19.87666,-1.863876,-1.145138
1.389999,-1.903238,7.668999,23.06305,-1.633246,-1.16147
1.399999,-1.903238,8.370727,25.86995,-1.374547,-1.175216
1.409999,-1.903238,8.968378,28.26056,-1.091941,-1.186135
1.419999,-1.903238,9.452228,30.19596,-0.7899814,-1.194035
1.429999,-1.903238,9.814456,31.64487,-0.4735327,-1.19877
1.439999,-1.903238,10.04928,32.58416,-0.1476911,-1.200247
1.449999,-1.903238,10.15305,32.99924,0.1823013,-1.198424
1.459999,-1.903238,10.12432,32.88433,0.5111446,-1.193313
1.469999,-1.903238,9.963851,32.24245,0.833569,-1.184977
1.479999,-1.903238,9.674593,31.08542,1.144423,-1.173533
1.489999,-1.903238,9.261636,29.43359,1.438759,-1.159145
1.499999,-1.903238,8.732102,27.31546,1.711914,-1.142026
1.509999,-1.903238,8.095017,24.76712,1.959585,-1.12243
1.519999,-1.903238,7.361154,21.83166,2.177902,-1.100651
1.529999,-1.903238,6.542787,18.5582,2.363483,-1.077016
1.539999,-1.903238,5.653537,15.0012,2.513495,-1.051881
1.549999,-1.903238,4.708077,11.21936,2.625689,-1.025624
1.559999,-1.905499,3.721879,7.26552,2.698344,-0.998641
1.569999,-1.999314,2.710935,2.846484,2.726809,-0.9713728
1.579999,-1.999314,1.691466,-1.231391,2.714495,-0.9442279
1.589999,-2.084086,0.6796483,-5.61775,2.658318,-0.9176447
1.599999,-2.084086,-0.3087251,-9.571243,2.562605,-0.8920186
1.609999,-2.174509,-1.258458,-13.73187,2.425287,-0.8677657
1.619999,-2.229894,-2.155256,-17.5406,2.249881,-0.8452669
1.629999,-2.229894,-2.985975,-20.86348,2.041246,-0.8248545
1.639999,-2.346315,-3.738843,-24.34063,1.79784,-0.8068761
1.649999,-2.346315,-4.403668,-26.99993,1.52784,-0.7915977
1.659999,-2.446911,-4.972002,-29.67565,1.231084,-0.7792869
