Name: 8, Condition: 3, Run: 33, Date: 10/16/2019 4:32:25 PM, Testing: False
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
0.03,0.1484506,4.44924,18.39076,0.5269409,0.01038006
0.04,1.102422,4.417681,22.08041,0.747745,0.01785751
0.05,1.102422,4.276578,21.516,0.962905,0.02748656
0.05999999,1.999879,4.024192,24.09628,1.203868,0.03952524
0.06999999,1.999879,3.660875,22.64301,1.430298,0.05382822
0.07999999,2.436174,3.189085,22.50103,1.655308,0.07038131
0.08999999,3.086095,2.613359,22.79782,1.883286,0.08921417
0.09999999,3.086095,1.940252,20.10539,2.08434,0.1100576
0.11,3.48283,1.17823,18.64424,2.270783,0.1327654
0.12,3.48283,0.3375367,15.28146,2.423597,0.1570014
0.13,3.557429,-0.5699781,11.9498,2.543095,0.1824323
0.14,3.565341,-1.531064,8.137108,2.624466,0.208677
0.15,3.565341,-2.53129,4.136204,2.665828,0.2353353
0.16,3.557429,-3.555301,0.008512497,2.665914,0.2619944
0.17,3.557429,-4.587086,-4.118628,2.624727,0.2882417
0.18,3.442138,-5.610249,-8.672442,2.538003,0.3136217
0.19,3.427445,-6.608318,-12.72349,2.410768,0.3377294
0.2,3.427445,-7.56502,-16.5503,2.245265,0.360182
0.21,3.427445,-8.464574,-20.14852,2.04378,0.3806198
0.22,3.427445,-9.291985,-23.45816,1.809198,0.3987118
0.23,3.427445,-10.03329,-26.42339,1.544964,0.4141614
0.24,3.427445,-10.67584,-28.99358,1.255028,0.4267117
0.25,3.427445,-11.20849,-31.12419,0.9437864,0.4361496
0.26,3.430836,-11.62184,-32.76402,0.6161461,0.442311
0.27,3.430836,-11.90838,-33.91018,0.2770444,0.4450815
0.28,3.454572,-12.06263,-34.43224,-0.06727801,0.4444087
0.29,3.454572,-12.08127,-34.50677,-0.4123458,0.4402853
0.3,3.454572,-11.96315,-34.0343,-0.7526888,0.4327584
0.31,3.454572,-11.70937,-33.01918,-1.082881,0.4219296
0.32,3.454572,-11.32324,-31.47465,-1.397627,0.4079533
0.33,3.454572,-10.81021,-29.42256,-1.691853,0.3910348
0.3399999,3.454572,-10.17783,-26.89304,-1.960783,0.3714269
0.3499999,3.454572,-9.435559,-23.92395,-2.200022,0.3494267
0.3599999,3.454572,-8.594629,-20.56023,-2.405625,0.3253705
0.3699999,3.454572,-7.667868,-16.85318,-2.574157,0.2996289
0.3799999,3.454572,-6.669437,-12.85946,-2.702751,0.2726014
0.3899999,3.454572,-5.614624,-8.640205,-2.789153,0.2447098
